"venue","film","interactive","music","name","link","type","startTime","time"
"6th & Sabine St",true,true,true,"Monster Energy in the Streets","/2016/events/event_OE05019","Special Event","2015-03-11T00:00:00+01:00",""
"6th & Sabine St",true,true,false,"PULSE - Powered By Deloitte Digital","/2016/events/event_OE04635","Special Event","2015-03-11T11:00:00+01:00","11:00AM - 12:00AM"
"6th and San Jacinto St",true,true,false,"Ten-X Hang Out","/2016/events/event_OE04648","Special Event","2015-03-11T11:00:00+01:00","11:00AM - 6:00PM"
"84 Rainey",false,true,false,"Kendra Scott Jewelry Lovers Soirée on Rainey St.","/2016/events/event_OE04892","Special Event","2015-03-11T12:00:00+01:00","12:00PM - 6:00PM"
"98 Red River",false,true,false,"Girls' Lounge","/2016/events/event_OE04871","Special Event","2015-03-11T08:00:00+01:00","8:00AM - 7:00PM"
"ACL Live at the Moody Theater",false,true,false,"Big Data and AI: Sci-Fi vs Everyday Applications","/2016/events/event_PP58129","Sessions","2015-03-11T11:00:00+01:00","11:00AM - 12:00PM"
"ACL Live at the Moody Theater",false,true,false,"Smart Women Using Smart Data to Rise to the Top","/2016/events/event_PP58122","Sessions","2015-03-11T12:30:00+01:00","12:30PM - 1:30PM"
"ACL Live at the Moody Theater",false,true,false,"How Data Is Impacting the Rise of Music Festivals","/2016/events/event_PP58131","Sessions","2015-03-11T14:00:00+01:00","2:00PM - 3:00PM"
"ACL Live at the Moody Theater",false,true,false,"Innovative Brands Using Data-Driven Marketing","/2016/events/event_PP58132","Sessions","2015-03-11T15:30:00+01:00","3:30PM - 4:30PM"
"Austin Convention Center",true,true,true,"Bud Light UnCharted Studio","/2016/events/event_OE04633","Special Event","2015-03-11T09:00:00+01:00","9:00AM - 6:00PM"
"Austin Convention Center",true,true,true,"Esurance in the Austin Convention Center","/2016/events/event_OE04636","Special Event","2015-03-11T09:00:00+01:00","9:00AM - 6:00PM"
"Austin Convention Center",true,true,false,"Got Mad Skills","/2016/events/event_OE04634","Special Event","2015-03-11T09:00:00+01:00","9:00AM - 6:00PM"
"Austin Convention Center",true,true,true,"Mazda Lounge","/2016/events/event_OE04641","Special Event","2015-03-11T09:00:00+01:00","9:00AM - 6:00PM"
"Austin Convention Center",true,true,false,"McDonald’s Lounge","/2016/events/event_OE04640","Special Event","2015-03-11T09:00:00+01:00","9:00AM - 5:00PM"
"Austin Convention Center",true,true,false,"Ten-X Living Room","/2016/events/event_OE04642","Special Event","2015-03-11T09:00:00+01:00","9:00AM - 6:00PM"
"Austin Convention Center",true,true,false,"UNITED IDEAS IN FLIGHT","/2016/events/event_OE05060","Special Event","2015-03-11T09:00:00+01:00","9:00AM - 6:00PM"
"Austin Convention Center",true,true,true,"Mazda Express","/2016/events/event_OE04662","Special Event","2015-03-11T10:00:00+01:00","10:00AM - 6:00PM"
"Austin Convention Center",true,true,false,"Comcast Social Media Lounge","/2016/events/event_OE04882","Special Event","2015-03-11T11:00:00+01:00","11:00AM - 6:00PM"
"Austin Convention Center",false,true,false,"Dirt, Drones and Data: The Future of Farming","/2016/events/event_PP55667","Sessions","2015-03-11T11:00:00+01:00","11:00AM - 1:00PM"
"Austin Convention Center",true,true,false,"Disruptive Philanthropy in the Digital World","/2016/events/event_PP90731","Sessions","2015-03-11T11:00:00+01:00","11:00AM - 12:00PM"
"Austin Convention Center",false,true,false,"Hecho (Made) By You","/2016/events/event_PP56580","Sessions","2015-03-11T11:00:00+01:00","11:00AM - 11:30AM"
"Austin Convention Center",false,true,false,"Invisible Influence and Winning at SXSW 2016","/2016/events/event_PP90088","Sessions","2015-03-11T11:00:00+01:00","11:00AM - 12:00PM"
"Austin Convention Center",true,true,false,"PBS Anywhere Lounge","/2016/events/event_OE04931","Special Event","2015-03-11T11:00:00+01:00","11:00AM - 6:00PM"
"Austin Convention Center",false,true,false,"Embracing Failures to Drive, Not Derail, Business","/2016/events/event_PP55529","Sessions","2015-03-11T11:30:00+01:00","11:30AM - 12:00PM"
"Austin Convention Center",false,true,false,"#AskGaryVee IRL: Gary Vaynerchuk Answers It All","/2016/events/event_PP91412","Sessions","2015-03-11T12:30:00+01:00","12:30PM - 1:30PM"
"Austin Convention Center",true,true,false,"Courtside with NBA Commissioner Adam Silver","/2016/events/event_PP90131","Sessions","2015-03-11T12:30:00+01:00","12:30PM - 1:30PM"
"Austin Convention Center",false,true,false,"The Intimacy Gap: Three Essentials for Friendships","/2016/events/event_PP47980","Sessions","2015-03-11T12:30:00+01:00","12:30PM - 1:00PM"
"Austin Convention Center",true,true,false,"Will ‘No-Tipping’ Save the Restaurant Industry?","/2016/events/event_PP92025","Sessions","2015-03-11T12:30:00+01:00","12:30PM - 1:30PM"
"Austin Convention Center",false,true,false,"From Food Stamps to CEO: How to Dominate Adversity","/2016/events/event_PP92476","Sessions","2015-03-11T13:00:00+01:00","1:00PM - 1:30PM"
"Austin Convention Center",true,false,false,"A Beginner's Guide to SXSW Film","/2016/events/event_PP91811","Sessions","2015-03-11T14:00:00+01:00","2:00PM - 3:00PM"
"Austin Convention Center",false,true,false,"Opening Keynote: Casey Gerald","/2016/events/event_PP90684","Sessions","2015-03-11T14:00:00+01:00","2:00PM - 3:00PM"
"Austin Convention Center",true,false,false,"An Insider’s Preview to the SXSW Film Festival","/2016/events/event_PP92567","Sessions","2015-03-11T15:30:00+01:00","3:30PM - 4:30PM"
"Austin Convention Center",false,true,false,"Deep Web and Dark Social: Is Anything Really Private","/2016/events/event_PP53316","Sessions","2015-03-11T15:30:00+01:00","3:30PM - 4:30PM"
"Austin Convention Center",true,true,false,"Diversity in Tech: Building Inclusivity ","/2016/events/event_PP90730","Sessions","2015-03-11T15:30:00+01:00","3:30PM - 4:30PM"
