"name","link","eventsCount","address","lat","lon"
"6th & Sabine St","/events?lsort=venue_all_days&venue=6th+%26+Sabine+St",7,"6th & Sabine St ",30.2662,-97.73616
"6th and San Jacinto St","/events?lsort=venue_all_days&venue=6th+and+San+Jacinto+St",5,"6th and San Jacinto St ",30.26739,-97.7403999
"84 Rainey","/events?lsort=venue_all_days&venue=84+Rainey",3,"84 Rainey 84 Rainey St",30.25953,-97.73878
"98 Red River","/events?lsort=venue_all_days&venue=98+Red+River",3,"98 Red River 98 Red River St",30.26158,-97.7392
"ACL Live at the Moody Theater","/events?lsort=venue_all_days&venue=ACL+Live+at+the+Moody+Theater",6,"ACL Live at the Moody Theater 310 W 2nd St",30.2449,-97.7591
"Austin Convention Center","/events?lsort=venue_all_days&venue=Austin+Convention+Center",789,"Austin Convention Center ",30.45415,-97.78254
"Black Swan Yoga","/events?lsort=venue_all_days&venue=Black+Swan+Yoga",1,"Black Swan Yoga 403 Orchard St",30.27155,-97.75926
"Brazos Hall","/events?lsort=venue_all_days&venue=Brazos+Hall",3,"Brazos Hall 204 E 4th St",30.26605,-97.7418
"Brush Square Park","/events?lsort=venue_all_days&venue=Brush+Square+Park",23,"Brush Square Park 409 E 5th St",30.26553,-97.73933
"Capital One House at Antone's","/events?lsort=venue_all_days&venue=Capital+One+House+at+Antone%27s",10,"Capital One House at Antone's 305 E 5th St",30.26607,-97.74037
"Courtyard Marriott","/events?lsort=venue_all_days&venue=Courtyard+Marriott",20,"Courtyard Marriott 300 E 4th St",30.26566,-97.74101
"The Esurance Lounge on 6th & Trinity","/events?lsort=venue_all_days&venue=Esurance+Lounge+on+6th+%26+Trinity",1,"The Esurance Lounge on 6th & Trinity ",30.26709,-97.73934
"Four Seasons","/events?lsort=venue_all_days&venue=Four+Seasons",70,"Four Seasons 98 San Jacinto Blvd",30.26232,-97.74232
"Half Step","/events?lsort=venue_all_days&venue=Half+Step",9,"Half Step 75 1/2 Rainey St",30.2584,-97.73859
"Hangar Lounge","/events?lsort=venue_all_days&venue=Hangar+Lounge",3,"Hangar Lounge ",30.26759,-97.74299
"Hilton Austin Downtown","/events?lsort=venue_all_days&venue=Hilton+Austin+Downtown",251,"Hilton Austin Downtown ",30.27298,-97.74197
"Hotel Van Zandt","/events?lsort=venue_all_days&venue=Hotel+Van+Zandt",2,"Hotel Van Zandt 605 Davis St",30.26029,-97.73927
"Jamie Knight Real Estate","/events?lsort=venue_all_days&venue=Jamie+Knight+Real+Estate",3,"Jamie Knight Real Estate 307 E 2nd St",30.26325,-97.74136
"JW Marriott","/events?lsort=venue_all_days&venue=JW+Marriott",548,"JW Marriott 110 E 2nd St",30.2640912,-97.7429835
"MACC (Mexican American Cultural Center)","/events?lsort=venue_all_days&venue=MACC+%28Mexican+American+Cultural+Center%29",4,"MACC (Mexican American Cultural Center) 600 River St","null","null"
"The Main","/events?lsort=venue_all_days&venue=Main",9,"The Main ",30.30436,-97.76078
"McDonald's Loft","/events?lsort=venue_all_days&venue=McDonald%27s+Loft",9,"McDonald's Loft 310 E 3rd St",30.26464,-97.74045
"Mellow Johnny's","/events?lsort=venue_all_days&venue=Mellow+Johnny%27s",1,"Mellow Johnny's 400 Nueces St",30.26813,-97.74925
"Old Antones Building","/events?lsort=venue_all_days&venue=Old+Antones+Building",4,"Old Antones Building 213 W 5th St",30.25862,-97.71705
"Old School Bar","/events?lsort=venue_all_days&venue=Old+School+Bar",19,"Old School Bar 401 E 6th St",30.26681,-97.73926
"Palm Door on Sixth","/events?lsort=venue_all_days&venue=Palm+Door+on+Sixth",54,"Palm Door on Sixth 508 E 6th St",30.26698,-97.73775
"Palmer Events Center","/events?lsort=venue_all_days&venue=Palmer+Events+Center",23,"Palmer Events Center 900 Barton Springs Rd",30.26024,-97.75382
"Sheraton Austin","/events?lsort=venue_all_days&venue=Sheraton+Austin",9,"Sheraton Austin 701 E 11th St",30.2706,-97.73423
"SouthBites Trailer Park","/events?lsort=venue_all_days&venue=SouthBites+Trailer+Park",11,"SouthBites Trailer Park 604 Driskill St",30.26128,-97.73818
"Speakeasy","/events?lsort=venue_all_days&venue=Speakeasy",20,"Speakeasy 412 Congress Ave",30.26684,-97.74372
"Stephen F Austin","/events?lsort=venue_all_days&venue=Stephen+F+Austin",18,"Stephen F Austin 701 Congress Ave",30.2691,-97.74195
"Wanderlust","/events?lsort=venue_all_days&venue=Wanderlust",4,"Wanderlust 206 E 4th St",30.26599,-97.74159
"Westin Austin Downtown","/events?lsort=venue_all_days&venue=Westin+Austin+Downtown",72,"Westin Austin Downtown ",30.27298,-97.74197
"WeWork","/events?lsort=venue_all_days&venue=WeWork",1,"WeWork 600 Congress Ave",30.26812,-97.7429499
"3Ten","/events?lsort=venue_all_days&venue=3Ten",18,"3Ten 310 W Willie Nelson Blvd",30.2651962,-97.746911
"6th St - Sabine to Brazos ","/events?lsort=venue_all_days&venue=6th+St+-+Sabine+to+Brazos+",1,"6th St - Sabine to Brazos  ",30.24812,-97.76358
